Tanggal,Jakarta Barat,Jakarta Pusat,Jakarta Selatan,Jakarta Timur,Jakarta Utara
2021-01-01,14143,13800,14400,13542,13813
2021-01-02,14000,13700,14500,13375,13813
2021-01-03,14143,13700,14350,13542,13813
2021-01-04,13929,13750,14250,13542,13813
2021-01-05,14000,13850,14200,13542,13813
2021-01-06,14000,13850,14250,13583,13813
2021-01-07,14000,13750,14300,13583,13813
2021-01-08,14143,13750,14250,13583,13750
2021-01-09,14000,13750,14300,13417,13813
2021-01-10,14000,13750,14300,13500,13813
2021-01-11,13857,13750,14250,13500,13813
2021-01-12,13857,14050,14150,13500,13813
2021-01-13,13857,13850,14200,13500,13813
2021-01-14,14143,13950,14250,13500,13875
2021-01-15,14143,13950,14300,13500,13813
2021-01-16,14143,13550,14250,13500,13688
2021-01-17,14143,13950,14250,13458,13750
2021-01-18,14143,13850,13800,13542,13750
2021-01-19,14143,13850,14100,13542,13750
2021-01-20,14143,13950,14150,13667,13813
2021-01-21,13857,13950,14200,13667,13750
2021-01-22,14143,13950,14150,13583,13938
2021-01-23,14143,13900,14150,13583,13938
2021-01-24,14143,13900,14200,13583,13938
2021-01-25,13857,13900,14300,13583,13938
2021-01-26,13857,13900,14200,13583,13938
2021-01-27,14143,13750,14150,13583,13938
2021-01-28,14429,13800,14150,13583,13938
2021-01-29,14429,13800,14100,13583,13813
2021-01-30,14429,13800,14150,13583,13875
2021-01-31,14429,13800,14200,13583,13875
2021-02-01,14429,13800,14200,13667,13813
2021-02-02,14429,13800,14200,13667,13813
2021-02-03,14429,13800,14300,13500,13750
2021-02-04,14429,13800,14350,13750,13688
2021-02-05,14429,13800,14350,13792,13750
2021-02-06,14429,13900,14300,13750,13750
2021-02-07,14429,13700,14350,13750,13813
2021-02-08,14429,13800,14300,13792,13750
2021-02-09,14429,13800,14350,13792,13813
2021-02-10,14429,13800,14250,13958,13813
2021-02-11,14429,13600,14300,13792,13813
2021-02-12,14429,13600,14350,13792,13813
2021-02-13,14429,13600,14200,13792,13813
2021-02-14,14429,13600,14200,13792,13813
2021-02-15,14429,13600,14250,13792,13813
2021-02-16,14429,13650,14250,13750,13813
2021-02-17,14429,13650,14300,13750,13875
2021-02-18,14429,13600,14250,13708,13875
2021-02-19,14429,13600,14250,13708,13875
2021-02-20,14429,13600,14200,13708,13875
2021-02-21,14286,13650,14250,13708,13875
2021-02-22,14286,13650,14200,13708,13875
2021-02-23,14286,13650,14200,13667,13813
2021-02-24,14143,13650,14200,13625,13875
2021-02-25,14143,13650,14100,13625,13875
2021-02-26,14143,13750,14150,13625,13875
2021-02-27,14143,13650,14050,13667,13875
2021-02-28,14143,13650,14000,13667,13875
2021-03-01,14143,13450,14150,13667,13875
2021-03-02,14143,13750,14150,13667,13875
2021-03-03,14143,13750,14200,13667,13875
2021-03-04,14286,13650,14200,13667,13875
2021-03-05,14286,13650,14050,13667,13875
2021-03-06,14286,13650,14100,13667,14000
2021-03-07,14286,13650,14150,13667,14000
2021-03-08,14286,13650,14150,13625,13875
2021-03-09,14286,13650,14050,13625,14250
2021-03-10,14286,13650,14100,13625,14000
2021-03-11,14286,13650,14100,13625,14000
2021-03-12,14286,13650,14000,13625,13938
2021-03-13,14286,13650,14100,13625,13875
2021-03-14,14286,13650,14100,13625,13875
2021-03-15,14286,13650,14200,13625,13813
2021-03-16,14286,13650,14150,13667,13938
